Latitude,Longitude,Timestamp,Latitude (2),Longitude (2),Timestamp (2),Latitude (3),Longitude (3),Timestamp (3),Latitude (4),Longitude (4),Timestamp (4),Pow(Latitude_$2),Pow(Longitude_$2),Pow(Timestamp_$2),Pow(Latitude (2)_$2),Pow(Longitude (2)_$2),Pow(Timestamp (2)_$2),Pow(Latitude (3)_$2),Pow(Longitude (3)_$2),Pow(Timestamp (3)_$2),Pow(Latitude (4)_$2),Pow(Longitude (4)_$2),Pow(Timestamp (4)_$2),Scored Labels,Scored Labels (2)
50.381945,-4.164335,0.856294536817102,,,,50.379958,-4.162836,0.650555824069599,,,,0.664225924626735,0.899340481197211,0.856294470129813,,,,0.450003687351695,0.839044408412337,0.650555672718144,,,,,-4.15031985655692
50.377666,-4.154204,0.235748218527316,50.380632,-4.16346,0.317913043478261,50.377229,-4.15134,0.193813436442726,,,,0.0656084096573756,0.387633035826596,0.235748120853227,0.440258032101959,0.753995000485681,0.317912842859899,0.12137849368691,0.32297942787293,0.193813332407326,,,,,
,,,,,,50.38353,-4.165848,0.808119864668922,,,,,,,,,,0.880169535708837,0.974491527725778,0.808119761456777,,,,,
50.379381,-4.162466,0.721496437054632,,,,50.378573,-4.159885,0.532624456259062,,,,0.305524958815803,0.804845258975066,0.721496328106595,,,,0.283220263234657,0.706435418731955,0.532624290524421,,,,,
50.377442,-4.147324,0.0213776722090261,50.377858,-4.154665,0.0149565217391304,50.376591,-4.144691,0.0236829386176897,51.4536,-2.59252,0.840871325802541,0.0342729736248993,0.0408412206504509,0.0213776607928368,0.0504463077350456,0.0516118325609465,0.0149565080890782,0.0445533316274479,0.0251517058200662,0.0236829232528019,0.977280123158315,0.385773172421886,0.838929634350826,50.3773726670532,
50.377414,-4.160422,0.596199524940618,50.384178,-4.166387,0.427130434782609,50.377999,-4.15718,0.342194296761721,,,,0.0303560539172531,0.701550733352974,0.596199394457332,0.938585024385683,0.988079445806823,0.427130208394834,0.214099812592996,0.58496352960423,0.342194146915223,,,,,
50.377255,-4.151283,0.144299287410926,50.378929,-4.162157,0.262260869565217,50.377536,-4.148444,0.126147897535041,50.3701,-4.12684,0.0428292652394768,0.00811358686007444,0.240327515198505,0.144299220454496,0.200944253117799,0.649841552126758,0.262260690564352,0.158346434072286,0.193200623655972,0.126147824147018,0.00708661567220687,0.981261725390431,0.0422343812689414,50.3772777206123,-4.14828975268218
50.377545,-4.14685,0.00415676959619952,50.377586,-4.154269,0.00243478260869565,50.37633,-4.144248,0.00724987916868052,50.4028,-4.11865,0.932511291998158,0.0486816612819813,0.0169700428652234,0.00415676727038251,0.0122251167818691,0.0200215649849741,0.0024347803412814,0.0131251366686046,0.00532543243313184,0.00724987435788998,0.0360648609203491,0.977361138716275,0.931598046700263,50.3774887862282,-4.14789170886029
50.378047,-4.157218,0.362232779097387,50.382612,-4.164809,0.378782608695652,50.377754,-4.154518,0.2730787820203,,,,0.118906949019662,0.539737144368908,0.362232653873047,0.718507358237113,0.861859741048177,0.378782390991254,0.184597421033449,0.465499756624126,0.273078649864438,,,,,
50.378166,-4.156751,0.345605700712589,50.382314,-4.164551,0.369739130434783,50.377583,-4.154069,0.260028999516675,,,,0.135554081982568,0.516162364563373,0.345605578137825,0.676628730302995,0.841227607121741,0.369738914832036,0.164006040921989,0.445357323361427,0.260028871465539,,,,,-4.14934938644023
,,,,,,50.383109,-4.165512,0.791686805219913,,,,,,,,,,0.829468112031047,0.959377034202113,0.791686695441938,,,,,
50.382367,-4.164592,0.893705463182898,,,,50.380307,-4.163239,0.667955534074432,,,,0.723265040611131,0.912337523802955,0.893705411669316,,,,0.492031425066155,0.857161304166758,0.667955386433722,,,,,
50.378239,-4.161641,0.660332541567696,,,,50.378201,-4.158404,0.476075398743354,,,,0.145766208218119,0.763147379831509,0.660332419986988,,,,0.238424341302273,0.639919210533798,0.476075232693858,,,,,
50.380156,-4.163068,0.763657957244656,,,,50.378524,-4.161234,0.566457225712905,,,,0.413944737591487,0.835277291091901,0.763657859400437,,,,0.277319706214543,0.76704371880166,0.566457062212453,,,,,
50.382343,-4.164562,0.891923990498812,,,,50.380285,-4.16321,0.666505558240696,,,,0.71990735250569,0.910820317947023,0.891923938248695,,,,0.489382103489177,0.855857548392747,0.666505410304028,,,,,
