,Elevation,Latitude,Longitude,Timestamp
0,9.8,50.377202,-4.146771,2019-03-26 16:12:57+00:00
1,10.3,50.377238,-4.146513,2019-03-26 16:12:58+00:00
2,10.2,50.377213,-4.146726,2019-03-26 16:13:00+00:00
3,9.5,50.377535,-4.146895,2019-03-26 16:13:02+00:00
4,9.5,50.377591,-4.146855,2019-03-26 16:13:03+00:00
5,9.4,50.377545,-4.14685,2019-03-26 16:13:04+00:00
6,9.4,50.377495,-4.146838,2019-03-26 16:13:05+00:00
7,9.4,50.377462,-4.146849,2019-03-26 16:13:07+00:00
8,9.4,50.377464,-4.146899,2019-03-26 16:13:09+00:00
9,9.4,50.377448,-4.146935,2019-03-26 16:13:12+00:00
10,9.3,50.377434,-4.146977,2019-03-26 16:13:14+00:00
11,9.3,50.377429,-4.147026,2019-03-26 16:13:18+00:00
12,9.3,50.377439,-4.147079,2019-03-26 16:13:21+00:00
13,9.3,50.377428,-4.147133,2019-03-26 16:13:24+00:00
14,9.3,50.377422,-4.147194,2019-03-26 16:13:27+00:00
15,9.2,50.377427,-4.147236,2019-03-26 16:13:29+00:00
16,9.2,50.377436,-4.147281,2019-03-26 16:13:31+00:00
17,9.2,50.377442,-4.147324,2019-03-26 16:13:33+00:00
18,9.1,50.377447,-4.147373,2019-03-26 16:13:36+00:00
19,9.1,50.377459,-4.147426,2019-03-26 16:13:39+00:00
20,9.0,50.377462,-4.147482,2019-03-26 16:13:42+00:00
21,9.0,50.377461,-4.147537,2019-03-26 16:13:44+00:00
22,8.9,50.377465,-4.147597,2019-03-26 16:13:47+00:00
23,8.9,50.377438,-4.147638,2019-03-26 16:13:50+00:00
24,8.8,50.377422,-4.14768,2019-03-26 16:13:53+00:00
25,8.8,50.377423,-4.147732,2019-03-26 16:13:56+00:00
26,8.7,50.377426,-4.147777,2019-03-26 16:13:58+00:00
27,8.7,50.377429,-4.147824,2019-03-26 16:14:00+00:00
28,8.6,50.377428,-4.147875,2019-03-26 16:14:02+00:00
29,8.5,50.377431,-4.147919,2019-03-26 16:14:04+00:00
30,8.4,50.377436,-4.14798,2019-03-26 16:14:07+00:00
31,8.3,50.377451,-4.148028,2019-03-26 16:14:10+00:00
32,8.3,50.377474,-4.148052,2019-03-26 16:14:14+00:00
33,8.2,50.377506,-4.148061,2019-03-26 16:14:16+00:00
34,8.1,50.377537,-4.148079,2019-03-26 16:14:19+00:00
35,8.0,50.377544,-4.148123,2019-03-26 16:14:24+00:00
36,8.0,50.377568,-4.148155,2019-03-26 16:14:27+00:00
37,7.9,50.377581,-4.1482,2019-03-26 16:14:30+00:00
38,7.8,50.377579,-4.148247,2019-03-26 16:14:32+00:00
39,7.7,50.377566,-4.148302,2019-03-26 16:14:34+00:00
40,7.5,50.377555,-4.148356,2019-03-26 16:14:36+00:00
41,7.5,50.377539,-4.148412,2019-03-26 16:14:39+00:00
42,7.4,50.377525,-4.148476,2019-03-26 16:14:42+00:00
43,7.4,50.377521,-4.148526,2019-03-26 16:14:44+00:00
44,7.3,50.377509,-4.148587,2019-03-26 16:14:47+00:00
45,7.2,50.377508,-4.148632,2019-03-26 16:14:49+00:00
46,7.2,50.37751,-4.148682,2019-03-26 16:14:51+00:00
47,7.2,50.377506,-4.148728,2019-03-26 16:14:53+00:00
48,7.1,50.377492,-4.148787,2019-03-26 16:14:56+00:00
49,7.0,50.377488,-4.148852,2019-03-26 16:14:59+00:00
50,7.0,50.377493,-4.1489,2019-03-26 16:15:01+00:00
51,6.9,50.37749,-4.148943,2019-03-26 16:15:03+00:00
52,6.9,50.377472,-4.148997,2019-03-26 16:15:06+00:00
53,7.0,50.377468,-4.149039,2019-03-26 16:15:08+00:00
54,7.1,50.377463,-4.149098,2019-03-26 16:15:11+00:00
55,7.2,50.377456,-4.149156,2019-03-26 16:15:14+00:00
56,7.3,50.37745,-4.149215,2019-03-26 16:15:17+00:00
57,7.4,50.377442,-4.149262,2019-03-26 16:15:20+00:00
58,7.4,50.377437,-4.149325,2019-03-26 16:15:23+00:00
59,7.4,50.377432,-4.149375,2019-03-26 16:15:25+00:00
60,7.5,50.377427,-4.149422,2019-03-26 16:15:28+00:00
61,7.5,50.377428,-4.149474,2019-03-26 16:15:31+00:00
62,7.5,50.37743,-4.149539,2019-03-26 16:15:34+00:00
63,7.6,50.377425,-4.149582,2019-03-26 16:15:36+00:00
64,7.6,50.37742,-4.149646,2019-03-26 16:15:39+00:00
65,7.6,50.377405,-4.149697,2019-03-26 16:15:41+00:00
66,7.7,50.377402,-4.149743,2019-03-26 16:15:43+00:00
67,7.7,50.377394,-4.149795,2019-03-26 16:15:46+00:00
68,7.7,50.377385,-4.149837,2019-03-26 16:15:49+00:00
69,7.7,50.377382,-4.149887,2019-03-26 16:15:51+00:00
70,7.8,50.377376,-4.149944,2019-03-26 16:15:54+00:00
71,7.8,50.377365,-4.149992,2019-03-26 16:15:56+00:00
72,7.8,50.377356,-4.150037,2019-03-26 16:15:58+00:00
73,7.8,50.37735,-4.150081,2019-03-26 16:16:00+00:00
74,7.9,50.377346,-4.150144,2019-03-26 16:16:03+00:00
75,7.9,50.37735,-4.150209,2019-03-26 16:16:06+00:00
76,8.0,50.37735,-4.150252,2019-03-26 16:16:08+00:00
77,8.1,50.377355,-4.150303,2019-03-26 16:16:11+00:00
78,8.2,50.377343,-4.150344,2019-03-26 16:16:13+00:00
79,8.3,50.377339,-4.150386,2019-03-26 16:16:15+00:00
80,8.4,50.377336,-4.15044,2019-03-26 16:16:18+00:00
81,8.6,50.377315,-4.150487,2019-03-26 16:16:21+00:00
82,8.7,50.377309,-4.150529,2019-03-26 16:16:25+00:00
83,8.8,50.37733,-4.15057,2019-03-26 16:16:27+00:00
84,8.7,50.377385,-4.15056,2019-03-26 16:16:34+00:00
85,8.9,50.377355,-4.150644,2019-03-26 16:16:36+00:00
86,8.9,50.377335,-4.150677,2019-03-26 16:16:37+00:00
87,9.0,50.377316,-4.150713,2019-03-26 16:16:38+00:00
88,9.1,50.377293,-4.150782,2019-03-26 16:16:39+00:00
89,9.1,50.377273,-4.150829,2019-03-26 16:16:40+00:00
90,9.2,50.377251,-4.150892,2019-03-26 16:16:41+00:00
91,9.3,50.377218,-4.15096,2019-03-26 16:16:43+00:00
92,9.3,50.377205,-4.151,2019-03-26 16:16:44+00:00
93,9.4,50.377197,-4.151053,2019-03-26 16:16:45+00:00
94,9.5,50.377197,-4.151116,2019-03-26 16:16:48+00:00
