,Elevation,Latitude,Longitude,Timestamp
0,28.6,50.376221,-4.144276,2019-03-29 15:36:03+00:00
1,28.5,50.376265,-4.144199,2019-03-29 15:36:08+00:00
2,28.5,50.376281,-4.144129,2019-03-29 15:36:09+00:00
3,28.5,50.376296,-4.144172,2019-03-29 15:36:13+00:00
4,28.3,50.376307,-4.144211,2019-03-29 15:36:15+00:00
5,28.0,50.37633,-4.144248,2019-03-29 15:36:18+00:00
6,27.7,50.376366,-4.144269,2019-03-29 15:36:21+00:00
7,27.4,50.376399,-4.144293,2019-03-29 15:36:24+00:00
8,27.1,50.376423,-4.144333,2019-03-29 15:36:28+00:00
9,26.8,50.37644,-4.144369,2019-03-29 15:36:30+00:00
10,26.6,50.376462,-4.144402,2019-03-29 15:36:32+00:00
11,26.2,50.376486,-4.144452,2019-03-29 15:36:35+00:00
12,25.9,50.376501,-4.1445,2019-03-29 15:36:38+00:00
13,25.7,50.376512,-4.144541,2019-03-29 15:36:41+00:00
14,25.4,50.376527,-4.144579,2019-03-29 15:36:44+00:00
15,25.2,50.376546,-4.14462,2019-03-29 15:36:47+00:00
16,24.7,50.376566,-4.14465,2019-03-29 15:36:49+00:00
17,24.4,50.376591,-4.144691,2019-03-29 15:36:52+00:00
18,24.0,50.376616,-4.144728,2019-03-29 15:36:55+00:00
19,23.5,50.376648,-4.144766,2019-03-29 15:36:58+00:00
20,23.2,50.376671,-4.144795,2019-03-29 15:37:00+00:00
21,22.9,50.376697,-4.144834,2019-03-29 15:37:03+00:00
22,22.5,50.37673,-4.144867,2019-03-29 15:37:06+00:00
23,22.3,50.376756,-4.144892,2019-03-29 15:37:08+00:00
24,22.1,50.376781,-4.144925,2019-03-29 15:37:10+00:00
25,21.9,50.3768,-4.144958,2019-03-29 15:37:12+00:00
26,21.6,50.376818,-4.145005,2019-03-29 15:37:15+00:00
27,21.4,50.376832,-4.145049,2019-03-29 15:37:18+00:00
28,21.1,50.376859,-4.14509,2019-03-29 15:37:21+00:00
29,20.8,50.376887,-4.145133,2019-03-29 15:37:24+00:00
30,20.6,50.376906,-4.145166,2019-03-29 15:37:26+00:00
31,20.4,50.376925,-4.145198,2019-03-29 15:37:28+00:00
32,20.1,50.376944,-4.145234,2019-03-29 15:37:30+00:00
33,19.8,50.376965,-4.145286,2019-03-29 15:37:33+00:00
34,19.4,50.376982,-4.145326,2019-03-29 15:37:35+00:00
35,19.0,50.376994,-4.145379,2019-03-29 15:37:38+00:00
36,18.6,50.377014,-4.14543,2019-03-29 15:37:41+00:00
37,18.2,50.37703,-4.145476,2019-03-29 15:37:44+00:00
38,17.9,50.377044,-4.145517,2019-03-29 15:37:46+00:00
39,17.6,50.377055,-4.145556,2019-03-29 15:37:48+00:00
40,17.3,50.377065,-4.145598,2019-03-29 15:37:51+00:00
41,16.9,50.377081,-4.145654,2019-03-29 15:37:54+00:00
42,16.5,50.377098,-4.145709,2019-03-29 15:37:57+00:00
43,16.1,50.377111,-4.145766,2019-03-29 15:38:00+00:00
44,15.8,50.377113,-4.145813,2019-03-29 15:38:02+00:00
45,15.4,50.377117,-4.145876,2019-03-29 15:38:05+00:00
46,15.2,50.377119,-4.145928,2019-03-29 15:38:07+00:00
47,15.0,50.377129,-4.145969,2019-03-29 15:38:08+00:00
48,14.7,50.377141,-4.146038,2019-03-29 15:38:10+00:00
49,14.4,50.377129,-4.146097,2019-03-29 15:38:13+00:00
50,14.2,50.377121,-4.146149,2019-03-29 15:38:15+00:00
51,14.0,50.377097,-4.146199,2019-03-29 15:38:17+00:00
52,13.7,50.377101,-4.146256,2019-03-29 15:38:25+00:00
53,13.5,50.377116,-4.146312,2019-03-29 15:38:28+00:00
54,13.3,50.37713,-4.146348,2019-03-29 15:38:30+00:00
55,13.0,50.377143,-4.146395,2019-03-29 15:38:32+00:00
56,12.7,50.377165,-4.146447,2019-03-29 15:38:34+00:00
